npc_ID.	5
npc_sprite.	851
npc_tint.	0
card_domain.	0
card_type.	10
card_rank.	0
card_rarity.	100
card_health.	3
card_attack.	690
effect_line.	5 effect:Do Nothing 
name_JP.	野うさぎ
desc_JP.	ふわふわした毛並みと愛くるしい姿が人気の小動物。少し気性が荒いが、捕まえてペットとして飼う者も多い。食べると美味しいが、愛好家の前では言わないように。
name_EN.	wild rabbit
desc_EN.	Its fluffy fur and overall cuteness makes it one of the more popular small animals. Though they're a bit temperamental, there are many who keep them as pets. They're also delicious, but don't say that in front of their fans.
