npcname_JP.	ごろつき
npcname_EN.	gangster
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	6
numflavor_angeredEN.	6
flavorangered_JP.0	「チキショー」
flavorangered_JP.1	「カモンベイベー」
flavorangered_JP.2	「ウラァ」
flavorangered_JP.3	「ヘドぶち吐きなッ！」
flavorangered_JP.4	「さあ、お仕置きの時間だよ」
flavorangered_JP.5	「コラー」
flavorangered_EN.0	"Shit."
flavorangered_EN.1	"C'mon baby."
flavorangered_EN.2	"Ura!"
flavorangered_EN.3	"I'll kill you!"
flavorangered_EN.4	"Time for punishment!"
flavorangered_EN.5	"Hey!"
numflavor_deathJP.	6
numflavor_deathEN.	6
flavordeath_JP.0	「逃げろぉぉ」
flavordeath_JP.1	「お前プッツンしてるぜ」
flavordeath_JP.2	「くそったれー」
flavordeath_JP.3	「やめてくれー」
flavordeath_JP.4	「うそだー」
flavordeath_JP.5	「俺は負けんのだぁ」
flavordeath_EN.0	"Run awayy..."
flavordeath_EN.1	"You're crazy."
flavordeath_EN.2	"Shithead!"
flavordeath_EN.3	"Please stop."
flavordeath_EN.4	"No way."
flavordeath_EN.5	"I won't lose to you..."
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「二度と俺を馬鹿にするな」
flavorkill_JP.1	「ギャハハハハ！」
flavorkill_JP.2	「ゴゥトゥヘル」
flavorkill_EN.0	"Don't disrespect me."
flavorkill_EN.1	"Kyahahahaha!"
flavorkill_EN.2	"Go to hell."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
