npcname_JP.	歴史を学ぶ『エリステア』
npcname_EN.	<Erystia> the scholar of history
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「この文はどういう意味かしら…」
flavorpassive_JP.1	「興味深いわね」
flavorpassive_JP.2	誰かが本を整理する音が聞こえる。
flavorpassive_EN.0	"I wonder what the runic translation of this is..."
flavorpassive_EN.1	"Hmm... interesting. Interesting indeed..."
flavorpassive_EN.2	You hear someone arranging books on shelves.
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「やめてください！」
flavorangered_JP.1	「あなたは、そんな人だったのですね」
flavorangered_EN.0	"Stop it, please!"
flavorangered_EN.1	"Why are you doing this?"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ひどい…」
flavordeath_EN.0	"How can you..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「この役立たず！」
flavorkill_EN.0	"You are useless!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
