npcname_JP.	パンク
npcname_EN.	punk
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	6
numflavor_angeredEN.	0
flavorangered_JP.0	「チキショー」
flavorangered_JP.1	「カモンベイベー」
flavorangered_JP.2	「ウラァ」
flavorangered_JP.3	「ヘドぶち吐きなッ！」
flavorangered_JP.4	「さあ、お仕置きの時間だよ」
flavorangered_JP.5	「コラー」
numflavor_deathJP.	6
numflavor_deathEN.	0
flavordeath_JP.0	「逃げろぉぉ」
flavordeath_JP.1	「お前プッツンしてるぜ」
flavordeath_JP.2	「くそったれー」
flavordeath_JP.3	「やめてくれー」
flavordeath_JP.4	「うそだー」
flavordeath_JP.5	「俺は負けんのだぁ」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「二度と俺を馬鹿にするな」
flavorkill_JP.1	「ギャハハハハ！」
flavorkill_JP.2	「ゴゥトゥヘル」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
