npcname_JP.	貴族の子供
npcname_EN.	noble child
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	6
numflavor_angeredEN.	0
flavorangered_JP.0	「無礼者！」
flavorangered_JP.1	「お父上に言いつけてやる」
flavorangered_JP.2	「下郎め」
flavorangered_JP.3	「汚い！触るな！」
flavorangered_JP.4	「誰か！」
flavorangered_JP.5	「下がれ！」
numflavor_deathJP.	5
numflavor_deathEN.	0
flavordeath_JP.0	「うわぁ」
flavordeath_JP.1	「こ、殺さないで」
flavordeath_JP.2	「助、助けて…うぐ」
flavordeath_JP.3	「お父上ぇー」
flavordeath_JP.4	「む、無念」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「この人よわーい」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「チェッ」
