npcname_JP.	偽りの預言者『ゼーム』
npcname_EN.	<Zeome> the false prophet
numflavor_passiveJP.	1
numflavor_passiveEN.	1
flavorpassive_JP.0	ひどくしゃがれた笑い声が聞こえる…
flavorpassive_EN.0	You hear raspy bitter laughter in the distance...
numflavor_angeredJP.	1
numflavor_angeredEN.	1
flavorangered_JP.0	「愚かな！」
flavorangered_EN.0	"Fool!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ば、馬鹿な…！」
flavordeath_EN.0	"Impossible!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「ふははははっ」
flavorkill_EN.0	"Hahaha!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
