npcname_JP.	メイド
npcname_EN.	maid
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「%syujin%～」
flavorpassive_JP.1	%syujin%～
flavorpassive_JP.2	「用事はありませんか♪」
flavorpassive_JP.3	メイドの熱い視線を感じる…
flavorpassive_EN.0	"%syujin%~"
flavorpassive_EN.1	%syujin%~
flavorpassive_EN.2	"Don't you have any tasks for me? ♪"
flavorpassive_EN.3	You can feel the maid's passion-fueled gaze...
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「おいたが過ぎますよ！」
flavorangered_JP.1	「お仕置きです！」
flavorangered_EN.0	"That's too far for a prank!"
flavorangered_EN.1	"You need to be punished!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「ダメぇ！」
flavordeath_JP.1	「%syujin%ー！」
flavordeath_EN.0	"Noo!"
flavordeath_EN.1	"%syujin%!"
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	2
numflavor_welcomeEN.	2
flavorwelcome_JP.0	「おかえりなさいませ、%syujin%～」
flavorwelcome_JP.1	「おかえりなさいまし～」
flavorwelcome_EN.0	"Welcome back, %syujin%~"
flavorwelcome_EN.1	"Welcome baack~"
