npcname_JP.	シスター
npcname_EN.	sister
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	誰かが祈りを捧げる声が聞こえる。
flavorpassive_JP.1	「おお、この迷える子猫に道標の光を…」
flavorpassive_JP.2	「祈りなさい。どんな時でも救いはあります」
flavorpassive_JP.3	「他人を憎んではなりません」
flavorpassive_EN.0	You hear the chants of prayer in the distance.
flavorpassive_EN.1	"Come hither stray kittens, I shall guide you to the light."
flavorpassive_EN.2	"Pray hard. There's always chance for salvation."
flavorpassive_EN.3	"Do unto others as you wish others to do unto you."
numflavor_angeredJP.	4
numflavor_angeredEN.	4
flavorangered_JP.0	「償いなさい」
flavorangered_JP.1	「あなたには罰が必要なようですね」
flavorangered_JP.2	「てめー♪」
flavorangered_JP.3	「くそがーっ」
flavorangered_EN.0	"Atone for your sins."
flavorangered_EN.1	"Well, you need to be punished."
flavorangered_EN.2	"You sonova...♪"
flavorangered_EN.3	"Shit!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「おお、神よー」
flavordeath_EN.0	"God help me!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「地獄に墜ちなさい♪」
flavorkill_EN.0	"Go to hell."
numflavor_welcomeJP.	2
numflavor_welcomeEN.	2
flavorwelcome_JP.0	「お怪我はありませんか？」
flavorwelcome_JP.1	「無事な姿で何よりです。おかえりなさい」
flavorwelcome_EN.0	"Are you wounded?"
flavorwelcome_EN.1	"Good to see you again. Welcome home."
