npcname_JP.	妹猫
npcname_EN.	younger cat sister
numflavor_passiveJP.	7
numflavor_passiveEN.	7
flavorpassive_JP.0	「%onii%ちゃんー」
flavorpassive_JP.1	「%onii%ちゃん！」
flavorpassive_JP.2	「%onii%ちゃ～ん」
flavorpassive_JP.3	「%onii%ちゃんっ」
flavorpassive_JP.4	「%onii%ちゃん？」
flavorpassive_JP.5	「%onii%～ちゃん」
flavorpassive_JP.6	「%onii%ちゃん♪」
flavorpassive_EN.0	"%onii%..."
flavorpassive_EN.1	"%onii%!"
flavorpassive_EN.2	"%onii%~"
flavorpassive_EN.3	"%onii%!!"
flavorpassive_EN.4	"%onii%?"
flavorpassive_EN.5	"%onii%~!"
flavorpassive_EN.6	"%onii%♪"
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ダメぇにゃ！」
flavordeath_EN.0	"Nyo way!"
numflavor_killJP.	4
numflavor_killEN.	4
flavorkill_JP.0	あなたは妹の頭をなでた。
flavorkill_JP.1	あなたは妹の姿に目を細めた。
flavorkill_JP.2	妹は上目づかいにあなたの顔を覗いた。
flavorkill_JP.3	「うにゃん」
flavorkill_EN.0	You gently stroke the younger sister's hair.
flavorkill_EN.1	You squinted at how the younger sister looks right now.
flavorkill_EN.2	The younger sister sneaks an upward glance at your face.
flavorkill_EN.3	"Meow"
numflavor_welcomeJP.	3
numflavor_welcomeEN.	3
flavorwelcome_JP.0	「おかえりにゃ、%onii%ちゃん！」
flavorwelcome_JP.1	「おかえりなさいにゃー、%onii%ちゃん♪」
flavorwelcome_JP.2	「待ってたにゃ、%onii%ちゃん」
flavorwelcome_EN.0	"%onii%, welcomeow!"
flavorwelcome_EN.1	"You're homeow, %onii%♪"
flavorwelcome_EN.2	"Nya've been waiting for you, %onii%"
