npcname_JP.	無邪気な少女『グウェン』
npcname_EN.	<Gwen> the innocent
numflavor_passiveJP.	7
numflavor_passiveEN.	7
flavorpassive_JP.0	「あー…かわいいお花！」
flavorpassive_JP.1	「ついていっていい？」
flavorpassive_JP.2	「サンドラさんの赤いケープほしい…」
flavorpassive_JP.3	「ざっつあぷりちーふらわー」
flavorpassive_JP.4	「赤って好きな色なの～」
flavorpassive_JP.5	「この花の冠はお母さんに編んでもらったの」
flavorpassive_JP.6	「るるる♪」
flavorpassive_EN.0	"Oh my! Such pretty flowers♪"
flavorpassive_EN.1	"Can I tag along? I won't be a bother♪"
flavorpassive_EN.2	"I hope Sandra's red cape...♪"
flavorpassive_EN.3	"Eat flowers evil-doer!♪"
flavorpassive_EN.4	"Red is the color of love, of blood, and of roses♪"
flavorpassive_EN.5	"A crown of flowers did his mother weave with all her heart...♪"
flavorpassive_EN.6	"♪La, laaaah, la, la-la. Lah, la-la, la la...♪"
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「どうして、そんなことするの？」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「怖いのはいや…」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「あ…もどってきた！」
