npcname_JP.	パエルの母『リリィ』
npcname_EN.	Pael's mom <Lily>
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「うふっ。パエルはいつまでも甘えん坊さんね」
flavorpassive_JP.1	「あらあら。心配しないでも、私は平気よ」
flavorpassive_JP.2	「けほっ。けほっ」
flavorpassive_JP.3	「いい子ね」
flavorpassive_EN.0	"Pael, such a spoiled child... dear oh dear."
flavorpassive_EN.1	"Hush now, I've got you."
flavorpassive_EN.2	"I hope Pael is not in trouble with the guards again..."
flavorpassive_EN.3	"Now you be good dear, understand?"
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「ああ…パエル…パエル…」
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
