npcname_JP.	女たらしの『ラファエロ』
npcname_EN.	<Raphael> the womanizer
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「あんな極上の女はそうはいねえ」
flavorpassive_JP.1	「俺の手に掛かれば、どんな女もイチコロよ」
flavorpassive_JP.2	 *レロレロレロ* 
flavorpassive_JP.3	「まったく罪な男に生まれちまったもんだ」
flavorpassive_EN.0	"Ladies! The line starts here!"
flavorpassive_EN.1	"No woman can resist my charms, be they my dashing good looks, my wit and charm, or even my coinpurse."
flavorpassive_EN.2	"♪lero-lero-lero♪"
flavorpassive_EN.3	"I am the gods' gift to women. Come and get a memory you shall never forget!"
numflavor_angeredJP.	1
numflavor_angeredEN.	1
flavorangered_JP.0	「真の男ってものを見せてやるよ」
flavorangered_EN.0	"Let me show you what a real man is!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ママー！」
flavordeath_EN.0	"Mommy!"
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「ペッ」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
