npcname_JP.	見習い騎士『アインク』
npcname_EN.	<Ainc> the novice knight
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「イーック」
flavorpassive_JP.1	「か、かみかぜ…」
flavorpassive_JP.2	「ィィーック」
flavorpassive_JP.3	「なんという生物だ」
flavorpassive_EN.0	"Let's roll!"
flavorpassive_EN.1	"I may be new to this whole knight gig, but I won't be for long!"
flavorpassive_EN.2	"Are my spurs polished enough you think? I'd just die if a senior thought they were sub-par."
flavorpassive_EN.3	You hear someone adjusting their armor for the umpteenth time
numflavor_angeredJP.	1
numflavor_angeredEN.	0
flavorangered_JP.0	「けが人相手に卑怯な！」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「ああ…立派な騎士になりたかった…」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「ガードに突き出してやる」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
