npcname_JP.	犬好きの少女『リリアン』
npcname_EN.	<Rilian> the dog lover
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「ポピー！」
flavorpassive_JP.1	「わん～わん～」
flavorpassive_EN.0	"Poppy!"
flavorpassive_EN.1	"Wuff wuff."
numflavor_angeredJP.	1
numflavor_angeredEN.	1
flavorangered_JP.0	「なにするの！」
flavorangered_EN.0	"What! Stop!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「来世は犬になりたい…」
flavordeath_EN.0	"Poppy, where are you poppy..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「めっ！」
flavorkill_EN.0	"Idiot!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
