npcname_JP.	ジューア剣闘士
npcname_EN.	juere swordman
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	5
numflavor_angeredEN.	0
flavorangered_JP.0	「イェルス兵を殺せ！」
flavorangered_JP.1	「突っ込め！」
flavorangered_JP.2	「突撃！突撃！」
flavorangered_JP.3	「ひるむな！」
flavorangered_JP.4	「ウォォォ」
numflavor_deathJP.	4
numflavor_deathEN.	0
flavordeath_JP.0	「ギャァァァァ」
flavordeath_JP.1	「衛生兵！！」
flavordeath_JP.2	「大佐、また一人死にました！」
flavordeath_JP.3	「仲間が戦闘不能です、大佐！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「敵兵の首とったり！」
flavorkill_JP.1	「敵兵撃破！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
