npcname_JP.	稀代の泥棒『マークス』
npcname_EN.	<Marks> the great thief
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「私に不可能はないのです」
flavorpassive_JP.1	「捕まえられるものなら、どうぞいつでも」
flavorpassive_JP.2	「そこらのコソ泥と、一緒にしないでください」
flavorpassive_EN.0	"Impossible? Bah, to you maybe."
flavorpassive_EN.1	"You catch me? Ha! You'd have a better chance shackling your shadow!"
flavorpassive_EN.2	"Do not mistake me for one of these common burglars."
numflavor_angeredJP.	1
numflavor_angeredEN.	1
flavorangered_JP.0	「ホッホッホッ」
flavorangered_EN.0	"Hohoho."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「これは何かの間違いです」
flavordeath_EN.0	"Was it something I did wrong?"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「ホホーっ」
flavorkill_EN.0	"Ho HO!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
