npcname_JP.	修道女
npcname_EN.	nun
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「おやめなさい」
flavorangered_JP.1	「暴力はダメです」
flavorangered_EN.0	"Stop this at once!"
flavorangered_EN.1	"Violence isn't good."
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「なんという悪」
flavordeath_JP.1	「大罪です…」
flavordeath_JP.2	「ふにゃー」
flavordeath_EN.0	"Such evilness."
flavordeath_EN.1	"What a grave sin..."
flavordeath_EN.2	"Uuugh..."
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
