npcname_JP.	生化学者『イコール』
npcname_EN.	<Icolle> the biologist
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「これからの世界はカガクなのじゃ」
flavorpassive_JP.1	「実験体が足りぬ」
flavorpassive_JP.2	「ふむふむ…この遺伝子を猫に組み込めば…」
flavorpassive_EN.0	"Science is its own reward!"
flavorpassive_EN.1	"With a little bit of this, and a little bit of that, why, who knows what you are going to get?"
flavorpassive_EN.2	"I wonder if a black cat's genes are more or less lucky than a regular cat's..."
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「カガク万歳！」
flavordeath_EN.0	"Hail Saga... err, science!"
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
