npcname_JP.	『虚空を這いずる者』
npcname_EN.	<Whom dwell in the vanity>
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	あなたはひどい無力感に襲われた。
flavorpassive_JP.1	重たい空気が辺りに漂っている。しかし希望はまだ失われてはいない、とあなたは感じた。
flavorpassive_JP.2	「エリシェ…なぜ……お前が…」
flavorpassive_EN.0	You have been struck by a terrible feeling of powerlessness.
flavorpassive_EN.1	The air around here is heavy and sorrowful. But you somehow feel not all is lost.
flavorpassive_EN.2	"Elishe... why did it have to be you..."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	『虚空を這いずる者』はあなたに冷ややかな視線を送った。
flavorangered_JP.1	「くだらない…」と誰かが言った。
flavorangered_JP.2	あなたは死を覚悟した。
flavorangered_EN.0	You are like a rabbit fascinated by a snake.
flavorangered_EN.1	Someone mutters. "Worthless."
flavorangered_EN.2	You sense death.
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「やっと…これでお前の元に…」
flavordeath_EN.0	"Finally... I come to you... Elishe..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	『虚空を這いずる者』は深いため息をついた。「…また生き延びてしまった」
flavorkill_EN.0	"I live again... in vain."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
