npcname_JP.	魔術士ギルドマスター『レヴラス』
npcname_EN.	<Revlus> the mage guildmaster
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	魔法を詠唱する声が聞こえる。
flavorpassive_JP.1	辺りはピリピリとした緊張で包まれている。
flavorpassive_JP.2	部屋全体に魔力の波がただよっている。
flavorpassive_EN.0	"Magic is not for the faint of heart, nor dull of mind."
flavorpassive_EN.1	You hear chants for spells you can't even begin to imagine the purpose of.
flavorpassive_EN.2	A pulse of arcane and raw eldritch energies nearly knocks you off your feet.
numflavor_angeredJP.	1
numflavor_angeredEN.	1
flavorangered_JP.0	「口で言っても無駄のようですね」
flavorangered_EN.0	"Seems like saying anything will be useless."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「そ、そんなはずはないのです！」
flavordeath_EN.0	"S-such a thing, it can't be!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「みなさん、新たな献体が手に入りましたよ」
flavorkill_EN.0	"Everyone, I got my hands on a FRESH donation here."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
