npcname_JP.	盗賊ギルドの番人『アビス』
npcname_EN.	<Abyss> the thief watchman
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「この先は盗賊ギルドの管轄だ」
flavorpassive_JP.1	「止まれ…身分を照会させてもらう」
flavorpassive_EN.0	"I am an officer of the Thief Guild's jurisdiction. Beware the clumsy-fingered."
flavorpassive_EN.1	"Stop... Let me make sure you are on my lists."
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
