npcname_JP.	パルミア少将『コネリー』
npcname_EN.	<Conery> Palmian major general
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「うむうむ、精進せよ」
flavorpassive_JP.1	「困ったことになったぞ」
flavorpassive_JP.2	「軍人たるもの、常に身だしなみに気をつけねばならぬ」
flavorpassive_EN.0	"Kill a man, they put you in the gallows. Kill ten-thousand, they make you a General."
flavorpassive_EN.1	"We're going to need all the help we can get, yes indeed."
flavorpassive_EN.2	"You know what separates a soldier from a thug? The polish on his buttons, that's what."
numflavor_angeredJP.	1
numflavor_angeredEN.	0
flavorangered_JP.0	「貴様、軍事裁判にかけてやるわ」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「ちょこざいなー！」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「こわっぱが」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
