npcname_JP.	『リトルシスター』
npcname_EN.	<Little Sister>
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「Mr Bubbles、動いて…おねがい！」
flavorpassive_JP.1	「来ないで！触わらないで！」
flavorpassive_JP.2	「天使…天使に出会うまで、まだ死にたくないの…」
flavorpassive_EN.0	"Mr. Bubbles, please stand up... Please!"
flavorpassive_EN.1	"Don't come here! Don't touch me!"
flavorpassive_EN.2	"Angel... until I meet the angel, I don't want to die..."
numflavor_angeredJP.	1
numflavor_angeredEN.	1
flavorangered_JP.0	「い、いや…！こないで！やだ…助けて…お願い…」
flavorangered_EN.0	"N-no...! Don't come here! No... help me... please!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「死…死にたくない…いやあぁ…ぁ」
flavordeath_EN.0	"I... I don't want to die... noo..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「天使の血でお腹を満たすの」
flavorkill_EN.0	"Fill your belly with the blood of an angel."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
