npcname_JP.	ハードゲイ
npcname_EN.	hard gay
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「フーーーーｰｰ！」
flavorpassive_JP.1	「フーーー」
flavorpassive_JP.2	「フゥーーーー！」
flavorpassive_EN.0	"Foooooo!"
flavorpassive_EN.1	"Fooooo"
flavorpassive_EN.2	"Foooooo!"
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「フーーーーｰｰ！」
flavorangered_JP.1	「フーーー」
flavorangered_JP.2	「フゥーーーー！」
flavorangered_EN.0	"Foooooo!"
flavorangered_EN.1	"Fooooo"
flavorangered_EN.2	"Foooooo!"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「フーーーーｰｰ！」
flavordeath_JP.1	「フーーー」
flavordeath_JP.2	「フゥーーーー！」
flavordeath_EN.0	"Foooooo!"
flavordeath_EN.1	"Fooooo"
flavordeath_EN.2	"Foooooo!"
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「フーーーーｰｰ！」
flavorkill_JP.1	「フーーー」
flavorkill_JP.2	「フゥーーーー！」
flavorkill_EN.0	"Foooooo!"
flavorkill_EN.1	"Fooooo"
flavorkill_EN.2	"Foooooo!"
numflavor_welcomeJP.	3
numflavor_welcomeEN.	3
flavorwelcome_JP.0	「フーーーーｰｰ！」
flavorwelcome_JP.1	「フーーー」
flavorwelcome_JP.2	「フゥーーーー！」
flavorwelcome_EN.0	"Foooooo!"
flavorwelcome_EN.1	"Fooooo"
flavorwelcome_EN.2	"Foooooo!"
