npcname_JP.	『謎の科学者』
npcname_EN.	<Strange scientist>
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「正しいことを行うのが時には難しいこともあるわ」
flavorpassive_JP.1	「私の子供達を傷つけたらひどいわよ」
flavorpassive_EN.0	"The path of the righteous is not always easy, yes?"
flavorpassive_EN.1	"I'll not have him hurt my Little ones... I've worked far too long on them to see them fail now."
numflavor_angeredJP.	1
numflavor_angeredEN.	1
flavorangered_JP.0	「どうしてそんなことができるの？」
flavorangered_EN.0	"How can you do such a thing?"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「あなたには心がないの？」
flavordeath_EN.0	"Have you no heart?"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「あなたには心がないの？」
flavorkill_EN.0	"Have you no heart?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
