npcname_JP.	吟遊詩人
npcname_EN.	bard
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「タラララララー♪」
flavorpassive_JP.1	「チキチキ♪」
flavorpassive_JP.2	「ドナドナドナ～♪」
flavorpassive_JP.3	「ダバダ～♪」
flavorpassive_EN.0	"Oh I once heard of a place called Nantucket..."
flavorpassive_EN.1	"Ninety-nine Yeeks in a dank hole. Ninety-nine Yeeks in a Hole!"
flavorpassive_EN.2	"Crawling in my Robes! These wounds will need a Healer!"
flavorpassive_EN.3	"If you go down to the woods today. You're sure of a big surprise. If you go down to the woods today. You'd better go in disguise."
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「や、やめてくれたまえ」
flavorangered_JP.1	「そんなに耳障りな演奏だったかい？」
flavorangered_EN.0	"S-Stop it..!"
flavorangered_EN.1	"Was my music that bad?"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「そんな馬鹿な…」
flavordeath_JP.1	「厳しい客だぜ」
flavordeath_JP.2	「下手で悪かったよ」
flavordeath_EN.0	"No way!"
flavordeath_EN.1	"It's a bitter tirade."
flavordeath_EN.2	"Did I suck that bad?"
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
