npcname_JP.	異形の森の使者『ロミアス』
npcname_EN.	<Lomias> the messenger from Vindale
numflavor_passiveJP.	5
numflavor_passiveEN.	5
flavorpassive_JP.0	「異形の森、か…。我等のもたらす真実を、彼らはどう受け止めるか」
flavorpassive_JP.1	「この洞窟は、なかなか住み心地がよさそうじゃないか」
flavorpassive_JP.2	「ヴェルニースの炭鉱街までは、子供の足でも一日でたどり着けるだろう」
flavorpassive_JP.3	「あの酒場の娘にはまいったな！」
flavorpassive_JP.4	誰かが弓矢を手入れする音が聞こえた。
flavorpassive_EN.0	"Wait until they hear the news we bring about that forest. And they think they have problems. Hah!"
flavorpassive_EN.1	"Hey... This is a fine looking cave. I oughta enquire about it sometime. Everyone needs a hideaway..."
flavorpassive_EN.2	"Pah! It would take a child less than a day to walk to Vernis, we won't be late."
flavorpassive_EN.3	"Man, that girl at the pub... She could clean my glass if you know what I mean!"
flavorpassive_EN.4	You hear someone testing the string of his bow.
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「恩を仇で返すとはこのことだ」
flavorangered_JP.1	「貴様、かの者の手先だったのか？」
flavorangered_EN.0	"You repay kindness with ingratitude?"
flavorangered_EN.1	"Do you really mean it?"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「おいおい、冗談だろう…」
flavordeath_EN.0	"Geez, you gotta be kidding..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「世の中には、おかしな奴がいるものだ」
flavorkill_EN.0	"There's always someone I can never understand."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
