npcname_JP.	『カネダのバイク』
npcname_EN.	<Kaneda Bike>
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	 *ブルン ブルン* 
flavorpassive_JP.1	 *バババババ* 
flavorpassive_EN.0	 *Varoom!* 
flavorpassive_EN.1	 *Va-Va-Va* 
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「てつぅぅぅうううおおおおおおお！！」
flavorangered_JP.1	「よう、どうした。揉め事か？」
flavorangered_JP.2	「やっとモーターのコイルが温まって来た所だぜ」
flavorangered_EN.0	"Teeee tsuuu oooooo!!"
flavorangered_EN.1	"Yo, what's up? A fight?"
flavorangered_EN.2	"Relax, it's gonna take some time to warm my engine up."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	 *ぷすん* 
flavordeath_EN.0	 *Pan* 
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「ピーキーすぎてお前には無理だよ」
flavorkill_JP.1	「テツオ、まってろよ。俺が苦痛を終わらせてやる」
flavorkill_EN.0	"My body is too peaky for ya."
flavorkill_EN.1	"Just hold on Tetsuo. I'm gonna find you to end your pain."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
