npcname_JP.	ジュアの狂信者
npcname_EN.	Jure fanatic
numflavor_passiveJP.	5
numflavor_passiveEN.	5
flavorpassive_JP.0	「ジュア様、ああ、ジュア様、罪深き私たちをどうかお許しください」
flavorpassive_JP.1	「我々はあなた様のご光臨を強く願っております！」
flavorpassive_JP.2	「ジュア様に栄光あれ！ジュア様に勝利を！」
flavorpassive_JP.3	「さあ、あなたもジュア教に改宗しなさい」
flavorpassive_JP.4	「異教徒に死を！ジュアの名を汚すものに裁きの鉄槌を！」
flavorpassive_EN.0	"Jure, oh holy Jure, forgive our sins and purify us from all unrighteousness."
flavorpassive_EN.1	"We're so ready to see you, Lady Jure!"
flavorpassive_EN.2	"Glory to Lady Jure! May victory always be with Lady Jure!"
flavorpassive_EN.3	"Come, become a new servant of Jure today."
flavorpassive_EN.4	"Death to the heretic! Crack down those who bring shame to the name of Jure!"
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
