npcname_JP.	『着ぐるみのバイト』
npcname_EN.	part time worker
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「今なら無料でジュア様の抱き枕が手に入るよ～」
flavorpassive_JP.1	「見てらっしゃい、よってらっしゃい」
flavorpassive_JP.2	「そこの君、清楚で綺麗なお姉さんが君を待ってるよ」
flavorpassive_JP.3	「この荒れすさんだ世に咲く一輪の花、気高く汚れを知らぬ純白の乙女、その名も癒しのジュア！」
flavorpassive_EN.0	"For a limited time, get Lady Jure's body pillow for FREE!"
flavorpassive_EN.1	"Step right up, step right up!"
flavorpassive_EN.2	"You there lucky one, a beautiful and sweet woman awaits for you!"
flavorpassive_EN.3	"A flower growing in the desert, fragile yet most noble... A maiden pure in heart with compassion and indomitable will to vanquish evil... Her name is Jure of Healing!"
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
