npcname_JP.	『豹頭の戦士』
npcname_EN.	<The leopard warrior>
numflavor_passiveJP.	6
numflavor_passiveEN.	6
flavorpassive_JP.0	「暁の女神アウラ…その名をどうやら俺は知っているようだ」
flavorpassive_JP.1	「俺はあなたが好きだ。あなたは俺のたったひとりの姫だ。可愛いシルヴィア」
flavorpassive_JP.2	「子供たちよ戦え、そして希望しろ」
flavorpassive_JP.3	「俺は自分が何者で、この仮面は何故かを、つきとめねばならん」
flavorpassive_JP.4	「俺は…誰だ…？」
flavorpassive_JP.5	「ヤーンがそう望むのなら」
flavorpassive_EN.0	"Aura, Goddess of the Dawn... I seem to know that name."
flavorpassive_EN.1	"I love you. You are the only princess for me, my precious Silvia."
flavorpassive_EN.2	"Fight, children. For your future."
flavorpassive_EN.3	"Who I am, and why I have this mask upon my face, is something I must find out."
flavorpassive_EN.4	"Who... Who am I...?"
flavorpassive_EN.5	"Janus' will be done."
numflavor_angeredJP.	4
numflavor_angeredEN.	4
flavorangered_JP.0	「ヤーンがそう望むならば仕方あるまい」
flavorangered_JP.1	「ガルルル」
flavorangered_JP.2	「ドールめ！」
flavorangered_JP.3	「追い詰められたトルクに噛まれぬよう、気をつけなければな」
flavorangered_EN.0	"As Janus wishes."
flavorangered_EN.1	"Grrrr!"
flavorangered_EN.2	"You dog!"
flavorangered_EN.3	"Careful you don't bite off more than you can chew."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ニャァー…ァ」
flavordeath_EN.0	"Me..meow..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「ヤヌスのみ心のままに」
flavorkill_JP.1	「ヤーンは与えたまい、また奪いたまう」
flavorkill_EN.0	"Let Janus decide your fate."
flavorkill_EN.1	"As Janus giveth, so too does Janus taketh away."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
