npcname_JP.	姉
npcname_EN.	older sister
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「甘えてきてもいいんだよ？」
flavorpassive_JP.1	「私がしっかりしないとね」
flavorpassive_JP.2	「もっとお姉ちゃんをかまってよー」
flavorpassive_EN.0	"I can rely on you, right?"
flavorpassive_EN.1	"I just can't do it by myself."
flavorpassive_EN.2	"Pay more attention to your older sister!"
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「お姉ちゃんに任せて！」
flavorangered_JP.1	「きゃあ！」
flavorangered_JP.2	「あわわわ」
flavorangered_EN.0	"Leave it to your older sister!"
flavorangered_EN.1	"Kyaa!"
flavorangered_EN.2	"Awawawa"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「ゴメン…ね」
flavordeath_JP.1	「あはは…これじゃお姉ちゃん失格だね」
flavordeath_EN.0	"I'm... sorry..."
flavordeath_EN.1	"Ahaha... I guess this means I fail as an older sister, huh?"
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「お姉ちゃんの活躍、見てくれた？」
flavorkill_JP.1	姉がこちらに向かって大きく手を振っている。
flavorkill_JP.2	姉はあなたをちらちら見ている。褒めてもらいたいようだ。
flavorkill_EN.0	"Did you see that? Your older sister took care of everything."
flavorkill_EN.1	Your older sister waves to you.
flavorkill_EN.2	Your older sister is trembling with excitement. It looks like she wants to be praised.
numflavor_welcomeJP.	3
numflavor_welcomeEN.	3
flavorwelcome_JP.0	「おかえりんこ！」
flavorwelcome_JP.1	「心配してたんだからね！怪我とかしてない？」
flavorwelcome_JP.2	「もう！お姉ちゃんを置いてどこに行ってたの？」
flavorwelcome_EN.0	"Welcome home!"
flavorwelcome_EN.1	"I was so worried! You aren't hurt, are you?"
flavorwelcome_EN.2	"Geez! Just where have you been off to without your big sister?"
