npcname_JP.	機甲将軍『アインリッヒ』
npcname_EN.	<Heinrich> the Armored General
numflavor_passiveJP.	4
numflavor_passiveEN.	0
flavorpassive_JP.0	「さて、どうしたものか」
flavorpassive_JP.1	「規律を乱すな！」
flavorpassive_JP.2	「賊どもめ…」
flavorpassive_JP.3	「やはり最新型は一味違うな」
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「この機械油の匂いがたまらないのさ」
flavorangered_JP.1	「なかなかの動きだ！」
flavorangered_EN.0	"You have to love the smell of machines."
flavorangered_EN.1	"You've got quite the moves!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「いいデータをとらせてもらったよ」
flavordeath_EN.0	"At least we got some nice data."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「おやおや、勝負あったようだな」
flavorkill_JP.1	「見たかぁぁぁぁ！イェルスの科学力は世界一ィィィィィィ！！」
flavorkill_EN.0	"Oh? Is that really all you could do?"
flavorkill_EN.1	"Look! Yerles' science is the best in the world!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
