npcname_JP.	海賊団長『エバース』
npcname_EN.	<Ebarth> the pirate boss
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	5
numflavor_angeredEN.	5
flavorangered_JP.0	「イヒヒヒヒ」
flavorangered_JP.1	「死ぬ準備をしろぉ」
flavorangered_JP.2	「てめぇの全てを略奪してやらぁ」
flavorangered_JP.3	「退治？返り討ちにしてやるぜぇ」
flavorangered_JP.4	「おれたちの恐ろしさ、とくと味わえ」
flavorangered_EN.0	"Heeheeheehee"
flavorangered_EN.1	"Prepare to die!"
flavorangered_EN.2	"I'm gonna loot everything ya got."
flavorangered_EN.3	"Get rid of us? I'm afraid you're gonna be the one visiting Davy Jones' Locker."
flavorangered_EN.4	"We'll give you a good taste of fear."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「くそ、おれたちは奪う側の人間だってのによぉ」
flavordeath_EN.0	"Shit, we're supposed to be the ones robbing people."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「お楽しみはこれからだぜぇ？イヒヒヒ…」
flavorkill_EN.0	"Have fun in the afterlife. Heeheehee..."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
