npcname_JP.	警備部隊長『オービル』
npcname_EN.	Security Officer <Orville>
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「ねむー」
flavorpassive_JP.1	「あー。しんどい」
flavorpassive_EN.0	"Need sleep..."
flavorpassive_EN.1	"Ahh, I'm so tired."
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「やーめーろーよぉー」
flavorangered_JP.1	「落ち着け！ここは平和的に解決するべきだ！」
flavorangered_EN.0	"Come on, stop it."
flavorangered_EN.1	"Calm down! We can resolve this peacefully!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「どうしてそんなことするのか小1時間問い詰めたい 」
flavordeath_JP.1	「やったぞ！これで仕事を休める！」
flavordeath_EN.0	"Why did you do this instead of just taking a minute to talk?"
flavordeath_EN.1	"Yes! Time to take a break from work!"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「ちゃんと死んでるよな？コレ死んだふりじゃないよな？」
flavorkill_JP.1	「言っただろ？お前は負ける運命だって！……あれ？言った…よな…？」
flavorkill_EN.0	"You're really dead, right? Not just faking it?"
flavorkill_EN.1	"I told you didn't I? You had no chance to win! ...Huh? Did I really... just say that...?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
