npcname_JP.	エウダーナ召喚騎士
npcname_EN.	eulderna summonknight
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「我は呼ぶ　魔の眷属」
flavorangered_JP.1	「戦いは数だ」
flavorangered_JP.2	「低俗な…」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「こんな愚かなやつに…！」
flavordeath_JP.1	「魔法も召喚術も効かない…だと…」
flavordeath_JP.2	「理解できない」
numflavor_killJP.	4
numflavor_killEN.	0
flavorkill_JP.0	「エウダーナこそ世界の支配者にふさわしい」
flavorkill_JP.1	「魔法を持たぬ者にはわかるまい…」
flavorkill_JP.2	「つまらない余興だったな」
flavorkill_JP.3	「どうやらこれでも過大評価していたらしい」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
