npcname_JP.	破壊神『シバ』
npcname_EN.	<Siva> the destruction
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「ウーッ！ハーッ！」
flavorangered_JP.1	「ウラァー！」
flavorangered_JP.2	「ガルッ！」
flavorangered_EN.0	"Woof! Woof!"
flavorangered_EN.1	"Woof!"
flavorangered_EN.2	"Grr!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ぎゃふん」
flavordeath_EN.0	"Arf..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	シバは死体から骨を引きずり出すと嬉しそうに尻尾を振った。
flavorkill_EN.0	Siva wags his tail happily as he feasts on the bones of his kill.
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
