npcname_JP.	混沌の従者『オルフェ』
npcname_EN.	<Orphe> the chaos follower
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	何かがクスクスと笑った。
flavorpassive_JP.1	あなたは誰かに見つめられている感じがした。
flavorpassive_EN.0	You hear the sound of someone laughing and snickering.
flavorpassive_EN.1	You feel as if someone is staring at you...
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「我らが王の贄となれ」
flavorangered_JP.1	「消えてもらう」
flavorangered_EN.0	"You shall become a sacrifice for our King."
flavorangered_EN.1	"Disappear."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	オルフェ「お前は…なんのために…」
flavordeath_EN.0	Orphe says: "You.. for what reason would..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	 *クスクス* 
flavorkill_EN.0	 *Snicker* 
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
