npcname_JP.	発狂金持ち『カイン』
npcname_EN.	<Caim> the mad rich
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「うばあばあああ」
flavorpassive_JP.1	「ねうねう♪ねうねう♪」
flavorpassive_JP.2	「うぎゅうふあはは」
flavorpassive_EN.0	"Uvaaavaavavaloaaa"
flavorpassive_EN.1	You hear crazy laughter.
flavorpassive_EN.2	"Uhyuaaaahuya"
numflavor_angeredJP.	1
numflavor_angeredEN.	1
flavorangered_JP.0	「ぴが…ぴぴがががぴがぴぴ」
flavorangered_EN.0	"Piga... Pipigagagapigapipi"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ぐひゃあああぐひゅふ」
flavordeath_EN.0	"Guhyoooo."
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
