npcname_JP.	『元清掃員』
npcname_EN.	<Reconciled cleaner>
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「清掃員だけどかたつむりと和解しました」
flavorpassive_JP.1	「ルミエスト程じゃないけど、ここも綺麗なところね」
flavorpassive_EN.0	"I might be a cleaner, but I've made my peace with snails."
flavorpassive_EN.1	"It might not be Lumiest, but we keep things clean here too."
numflavor_angeredJP.	5
numflavor_angeredEN.	5
flavorangered_JP.0	「いっくぞぉー！！！」
flavorangered_JP.1	「甘く見てると…痛い目見ますよ？」
flavorangered_JP.2	「今こそ修行の成果を見せる時！」
flavorangered_JP.3	「とあああーーっ！」
flavorangered_JP.4	「必殺！トマホークミサイルパンチ！」
flavorangered_EN.0	"Here I go!!!!"
flavorangered_EN.1	"You're taking me lightly... You looking for some pain?"
flavorangered_EN.2	"I'll show you the results of my training!"
flavorangered_EN.3	"Hiyaaaaa!"
flavorangered_EN.4	"Special move! Tomahawk Missile Punch!"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「すごく強いじゃないですか！やだー！」
flavordeath_JP.1	「ブーーーーッ」
flavordeath_JP.2	「…私…何の役にも立てなかった…」
flavordeath_EN.0	"No way! You're really strong aren't you?!"
flavordeath_EN.1	"Aghhhh"
flavordeath_EN.2	"I... I didn't accomplish anything..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「人、それを勝利という！」
flavorkill_JP.1	「清掃完了！」
flavorkill_EN.0	"It's my victory!"
flavorkill_EN.1	"Cleaning completed!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
