npcname_JP.	没落商人『グオ』
npcname_EN.	Bankrupt <Guo>
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「この村に帰ってくることになろうとは…」
flavorpassive_JP.1	「わしは大金持ちだったのじゃぞ！」
flavorpassive_EN.0	"Once I'm back on the top, I'll come back to this village and..."
flavorpassive_EN.1	"I used to be a millionaire!"
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「どいつもこいつも馬鹿にしおって！」
flavorangered_JP.1	「ふん、憂さ晴らしにちょうどいいわ！」
flavorangered_EN.0	"You're all nothing but fools!"
flavorangered_EN.1	"Hmph, this ought to distract me for a while!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「なぜわしがこんな目に！」
flavordeath_JP.1	「くそどもがぁーー！」
flavordeath_EN.0	"Why did this happen to me?!"
flavordeath_EN.1	"Damned fools!"
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
