npcname_JP.	量子物理生命体
npcname_EN.	Quantum creature
numflavor_passiveJP.	1
numflavor_passiveEN.	1
flavorpassive_JP.0	「きゅー」
flavorpassive_EN.0	"Q"
numflavor_angeredJP.	1
numflavor_angeredEN.	1
flavorangered_JP.0	「きゅー！！」
flavorangered_EN.0	"Q!!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「きゅう…」
flavordeath_EN.0	"Q..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「きゅう？」
flavorkill_EN.0	"Q!"
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「きゅう♪」
flavorwelcome_EN.0	"Q♪"
