npcname_JP.	コカトリス
npcname_EN.	cockatrice
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	 *クックッ* 
flavorpassive_JP.1	「コケー」
flavorpassive_JP.2	「コッ」
flavorpassive_EN.0	You hear something scratching for worms
flavorpassive_EN.1	"*Bwwwuuuuu-buk-buk-buk-buKAWK*"
flavorpassive_EN.2	You hear poultry in the distance
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「コケー」
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
