npcname_JP.	忘れられた世界の『カルラ』
npcname_EN.	<Carla> Of The Forgotten World
numflavor_passiveJP.	5
numflavor_passiveEN.	5
flavorpassive_JP.0	「獣に変えられた王子の童話をしっているかしら？」
flavorpassive_JP.1	痺れるほど美しいエルシアの民の横顔にあなたは見とれた。
flavorpassive_JP.2	「ミロスは無事かしら…」
flavorpassive_JP.3	「世界には自分とよく似た人物が3人いるらしいわね」
flavorpassive_JP.4	神秘的な古代の言葉で誰かが囁いた。
flavorpassive_EN.0	"Do you know of the fairy tale in which the prince became a beast?"
flavorpassive_EN.1	The beauty of the Elsian lady before you leaves you speechless.
flavorpassive_EN.2	"I wonder if Milos is safe..."
flavorpassive_EN.3	"It appears this world has three people very similar to my those in my own world."
flavorpassive_EN.4	You hear someone whispering in a mysterious ancient language.
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「なぜ戦わなければならないの？」
flavorangered_JP.1	「悪いけど、遊んでいる暇は無いの」
flavorangered_JP.2	エルシアの民の少女は凍りつくような美しい瞳をとがらせた。
flavorangered_EN.0	"Why do you wish to fight?"
flavorangered_EN.1	"Sorry, but I don't have time to play around."
flavorangered_EN.2	The gaze of the beautiful Elsian lady ices over.
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「うぅ…誰かが…ザビ王に風の異変を伝えなければ…このままでは…」
flavordeath_EN.0	"Uuugh... Someone... If King Zabi isn't told about the effects of the Wind then... at this rate..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「ごめんなさい…」
flavorkill_EN.0	"Sorry..."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
