npcname_JP.	火炎竜の幼体
npcname_EN.	fire dragon child
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	 *ばたばた* 
flavorpassive_JP.1	「ぴよぴよぴよぴよぴよ」
flavorpassive_JP.2	「ぴよ？」
numflavor_angeredJP.	2
numflavor_angeredEN.	0
flavorangered_JP.0	「ぴー！」
flavorangered_JP.1	ブレスを吐こうとしたようだが、小さな炎が出ただけだった。
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「ぴい…」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「ぴよ♪」
flavorkill_JP.1	「ぴ！」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「ぴよぴよ」
