npcname_JP.	開発主任『ガベラ』
npcname_EN.	Lead Developer <Dr. Gavela>
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「最新といってもまだこのレベルか」
flavorpassive_JP.1	「何か面白いものは転がってないか」
flavorpassive_EN.0	"They call it the latest technology and yet this is all it can do?"
flavorpassive_EN.1	"Isn't there anything interesting around here?"
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「一応形だけは抵抗しておくか」
flavorangered_JP.1	「退屈していたところさ」
flavorangered_JP.2	「文明レベル的に無理があるか…」
flavorangered_EN.0	"Maybe some resistance to mutation just to be safe..."
flavorangered_EN.1	"This place is so dull."
flavorangered_EN.2	"Perhaps this level of civilization is unreasonable..."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「やっと終わったか」
flavordeath_EN.0	"At last it's finally over."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「予想以上に貧弱だな…」
flavorkill_JP.1	「こいつをサイボーグ化したら面白いかもな！」
flavorkill_EN.0	"Even weaker than I expected..."
flavorkill_EN.1	"I think you'd be interesting as a cyborg!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
