npcname_JP.	遊び人
npcname_EN.	gambler
numflavor_passiveJP.	5
numflavor_passiveEN.	0
flavorpassive_JP.0	「くそっくそっ！」
flavorpassive_JP.1	「借金が増える…」
flavorpassive_JP.2	「まだだ！まだ金は残ってるぞ！」
flavorpassive_JP.3	「嘘だ…こんなのって」
flavorpassive_JP.4	ざわ・・・ざわ・・・
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「グッド！」
flavorangered_JP.1	「賭けるか？そちらが勝つかこちらが勝つか」
flavorangered_JP.2	「まさしく命がけだな」
flavorangered_EN.0	"P-please, no sir..."
flavorangered_EN.1	"Waaaa!"
flavorangered_EN.2	"Don't make a fool of me!"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「負けた、か…」
flavordeath_JP.1	「こんなのインチキに決まってる！」
flavordeath_JP.2	「イカサマしたな！？」
flavordeath_EN.0	"You are cruel."
flavordeath_EN.1	"It's unfair."
flavordeath_EN.2	"Beggars always cry..."
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「勝ったぞ！」
flavorkill_JP.1	「何がしたかったんだ？」
flavorkill_JP.2	「もう一勝負だ！」
flavorkill_EN.0	"Weak! Weak!"
flavorkill_EN.1	"Huh?"
flavorkill_EN.2	"Ha ha ha!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
