npcname_JP.	エレアの難民
npcname_EN.	refugee
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	7
numflavor_angeredEN.	7
flavorangered_JP.0	「腹へった」
flavorangered_JP.1	「ひゃっ！」
flavorangered_JP.2	「何のつもりですか」
flavorangered_JP.3	「馬鹿にしてるの？」
flavorangered_JP.4	「やめてくださいよ…」
flavorangered_JP.5	「暴力とかないわ」
flavorangered_JP.6	「タイム！タイム！！」
flavorangered_EN.0	"P-please, no sir..."
flavorangered_EN.1	"Waaaa!"
flavorangered_EN.2	"You get nothing from killing me..."
flavorangered_EN.3	"Don't make a fool of me!"
flavorangered_EN.4	"Why are you doing this?"
flavorangered_EN.5	"A violent revolution!"
flavorangered_EN.6	"Time! Time!"
numflavor_deathJP.	5
numflavor_deathEN.	5
flavordeath_JP.0	「こいつめ！」
flavordeath_JP.1	「うぐっ」
flavordeath_JP.2	「なぜ？どうして？」
flavordeath_JP.3	「こんなのってないよ」
flavordeath_JP.4	「故郷に帰りたかった…」
flavordeath_EN.0	"You are cruel."
flavordeath_EN.1	"Ahhhh!"
flavordeath_EN.2	"I don't deserve this..."
flavordeath_EN.3	"It's unfair."
flavordeath_EN.4	"My life is pathetic."
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「はぁはぁ」
flavorkill_JP.1	「無駄なエネルギー使わせやがって」
flavorkill_JP.2	「やれやれ」
flavorkill_EN.0	"Weak! Weak!"
flavorkill_EN.1	"Huh?"
flavorkill_EN.2	"Ha ha ha!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
