npcname_JP.	黒衣の『クロン』
npcname_EN.	<Kuron> the black cloth
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「お返事おそいな」
flavorpassive_JP.1	「おなかすいた…紙持ってない？」
flavorpassive_EN.0	"His reply is so slow."
flavorpassive_EN.1	"I'm so hungry... Isn't there any paper?"
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「え？え？」
flavorangered_JP.1	「変態だー！変態！変態！」
flavorangered_JP.2	「こ、このっ！」
flavorangered_EN.0	"Huh? Huh?"
flavorangered_EN.1	"Bad touch! Bad touch! There's a pervert here!"
flavorangered_EN.2	"Y-you!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「今日はこの辺にしといてあげる！」
flavordeath_EN.0	"You just got lucky today!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「意外とあっけなかったね」
flavorkill_EN.0	"What a let down."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
