npcname_JP.	黒お嬢様
npcname_EN.	white young lady
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「退屈ですわ。何か芸をなさい」
flavorpassive_JP.1	「薄汚れた空気ですこと」
flavorpassive_JP.2	「なんと品のない…」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「まぁ！なんて目障りなのでしょう！」
flavorangered_JP.1	「あらあら、小汚い」
flavorangered_JP.2	「今、楽にして差し上げますわ」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「あなたにはわたくしを守る義務がありましてよ？」
flavordeath_JP.1	「失望しましたわ」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「お洋服が汚れてしまいましたわ」
flavorkill_JP.1	「そんなものですの？」
flavorkill_JP.2	嬢は冷たく微笑みながら敵にトドメを刺した。
numflavor_welcomeJP.	2
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「もちろん、手土産のひとつくらいあるのでしょうね？」
flavorwelcome_JP.1	「次はわたくしも連れてゆきなさい」
