npcname_JP.	深海の姫『ミヅキ』
npcname_EN.	<Mizuki> The Abyss Princess
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「締めあげちゃるぞ」
flavorangered_JP.1	「活きがいいのぅ」
flavorangered_JP.2	「遊んでやるかの」
flavorangered_EN.0	"That's the last mistake you'll make."
flavorangered_EN.1	"Being alive is a good thing."
flavorangered_EN.2	"Is this your idea of play?"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「これ、少しはいたわらんか」
flavordeath_JP.1	「なんじゃとぉ！？」
flavordeath_EN.0	"I can't help but laugh."
flavordeath_EN.1	"How could this be?!"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「わしもまだまだやれるのぅ」
flavorkill_JP.1	「触手が絡まってしもうた…誰かほどいてくれんか」
flavorkill_EN.0	"I still have it."
flavorkill_EN.1	"This scuffle got my tentacles tangled... Someone come and untangle them for me."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
