npcname_JP.	市民のライエ
npcname_EN.	new citizen
numflavor_passiveJP.	1
numflavor_passiveEN.	1
flavorpassive_JP.0	「～♪」
flavorpassive_EN.0	"~♪"
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「…」
flavorangered_JP.1	「この格好じゃ動きにくい…！」
flavorangered_JP.2	「どうして僕を狙うのさ！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「ひどすぎるよ」
flavordeath_JP.1	「やっと手に入れた平穏が…！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「やだ、お気に入りの服が汚れちゃった…」
flavorkill_JP.1	「市民パワー！…言ってみたかったんだコレ」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
