npcname_JP.	無慈悲な戦士『グウェン』
npcname_EN.	<Gwen> the pitiless
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	4
flavorangered_JP.0	「このケダモノどもの影におびえて暮らすのは、もうまっぴら御免よ」
flavorangered_JP.1	「絶望？それなら私が教えてあげるわ」
flavorangered_JP.2	「恐れを心に刻むといいわ！」
flavorangered_JP.3	「私は今、ここにいる。そして、生きるために戦いつづけるの」
flavorangered_EN.0	"I simply cannot accept a life of being constantly afraid of the shadows of monsters."
flavorangered_EN.1	"Despair? Let ME tell you about despair."
flavorangered_EN.2	"It's good to carve the taste of fear into your heart!"
flavorangered_EN.3	"I may have changed, but I'm still alive. And I'll keep fighting to keep it that way."
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「花は枯れても、また花を咲かせる・・・私たちも同じよ」
flavordeath_JP.1	「死んだらみんな再会するって母さんは言ってた・・・母さんに会えるかしら」
flavordeath_EN.0	"Flowers blossom and wither... We are no different."
flavordeath_EN.1	"Mom always told me that you're reunited with everyone once you die... I wonder if I'll get to see mom again."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「あなたに神の祝福を受ける資格なんてないわ」
flavorkill_JP.1	「これ以上、だれも悲しませたくないから」
flavorkill_EN.0	"Someone like you isn't worthy to receive the blessings of the gods."
flavorkill_EN.1	"No more. I won't allow you to make anyone sad any longer."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
