npcname_JP.	少年の『ウェル』
npcname_EN.	child <Wel>
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「なんだかなぁ」
flavorpassive_JP.1	「おじいちゃん元気にしてるかな？」
flavorpassive_JP.2	「いつか僕もおじいちゃんになるのかな」
flavorpassive_EN.0	"What to do..."
flavorpassive_EN.1	"I wonder how grandpa is doing?"
flavorpassive_EN.2	"I wonder if I'll be a grandpa someday."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「うわぁ…」
flavorangered_JP.1	「こういうのってどうかと思う」
flavorangered_JP.2	「こんなことして恥ずかしくないの？」
flavorangered_EN.0	"Wahh..."
flavorangered_EN.1	"This isn't right."
flavorangered_EN.2	"Aren't you ashamed to beat up a kid?"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「おじいちゃんより先に死ぬなんて…！」
flavordeath_JP.1	「僕は特別なはずなのに…」
flavordeath_EN.0	"I can't die before grandpa...!"
flavordeath_EN.1	"I thought I was special..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「え？マジ？死亡？よわーい」
flavorkill_JP.1	「子供扱いしないで！」
flavorkill_EN.0	"Huh? Seriously? You're dead? Weak."
flavorkill_EN.1	"Don't treat me like a child!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
