npcname_JP.	アテンダントの『エール』
npcname_EN.	<Aile> the attendant
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	6
numflavor_angeredEN.	0
flavorangered_JP.0	「アテンションプリーズ…」
flavorangered_JP.1	「貴方はまもなくあの世に到着いたします」
flavorangered_JP.2	「仕事の邪魔ですよ？」
flavorangered_JP.3	「やっちゃるぜあああああ！」
flavorangered_JP.4	「スローすぎてあくびがでますよ」
flavorangered_JP.5	「覚悟は完了しましたか？」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「お客様の中にお医者様はおられませんか？」
flavordeath_JP.1	「拳ひとつで勝負せんかい！」
flavordeath_JP.2	「まさに悪魔ね…」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「何だか知らないけどとにかくよし！」
flavorkill_JP.1	「土に還るんですね。貴方にも養分はあるでしょう」
flavorkill_JP.2	「私は戦うのが好きなんじゃない…勝つのが好きなんです！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
