npcname_JP.	アルケー
npcname_EN.	arkhai
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「まったくぅ！」
flavorangered_JP.1	「やめてください！」
flavorangered_JP.2	「勝てる方法を考えなきゃ」
flavorangered_JP.3	「冷静になれ、私…」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「私だって負けたいわけじゃない」
flavordeath_JP.1	「さようなら…」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「はぁ…怖かった」
flavorkill_JP.1	「今日は調子いいみたいですね」
flavorkill_JP.2	「私はまだまだ強くなれる」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
