npcname_JP.	魔術士ギルドの調査員『レーナス』
npcname_EN.	<Lenas> the mage reporter
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「調査も楽じゃないわ…」
flavorpassive_JP.1	「魔術士ギルドのノルマ報告はこちらまで！」
flavorpassive_EN.0	"Surveying ain't easy..."
flavorpassive_EN.1	"Report updates to your Mage's Guild quota here!"
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ほ、本部に報告を…」
flavordeath_EN.0	"I-I must report to HQ..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「調査完了！」
flavorkill_EN.0	"Survey complete!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
