npcname_JP.	ガイドの『ノルン』
npcname_EN.	<Norne> the guide
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「どうしてこんなことするのかな？」
flavorangered_JP.1	「やれやれ、色々と教えてあげないとね」
flavorangered_JP.2	「ボクは悪い妖精じゃないよ」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「わけがわからないよ」
flavordeath_JP.1	「ボクを殺すことに何の意味があるんだい？」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「出直してきなよ」
flavorkill_JP.1	「これが君の運命だよ」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
