npcname_JP.	ダーティパサラン
npcname_EN.	black angel hair
numflavor_passiveJP.	2
numflavor_passiveEN.	0
flavorpassive_JP.0	 *ふわふわ*
flavorpassive_JP.1	「もうあの頃には戻れないのさ…」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	ダーティパサランは目を精一杯見開いた！
flavorangered_JP.1	「モフれよ」
flavorangered_JP.2	「幸運を得たい気持ちは痛いほどわかるがな…」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「願いなんか叶えられるわけないだろ…」
flavordeath_JP.1	地面に黒い綿毛が散らばった。
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「また、汚れてしまったな…」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
