npcname_JP.	蟲学者『マリア』
npcname_EN.	<Mary> the insect master
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「世界には色々な蟲がいるのねぇ」
flavorpassive_JP.1	「昆虫図鑑を見てるだけでも飽きないわ」
flavorpassive_JP.2	「観察レポートもそのうち整理しないとね」
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「エレアは戦うための武器など持たない！」
flavorangered_JP.1	「あなたは糸に巻かれて死ぬのよぉ？」
flavorangered_JP.2	「パラライザーの体液を使ったこの毒手で！」
flavorangered_JP.3	「あなたが珍しい蟲だったらよかったのに」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「蟲たちとは勝手が違うのねぇ」
flavordeath_JP.1	「あらあら」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「これ、後でアリスのご飯にしましょ」
flavorkill_JP.1	「若いころ戦った超巨大毒蜘蛛のほうが強かったわ」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
