npcname_JP.	学者
npcname_EN.	scholar
numflavor_passiveJP.	5
numflavor_passiveEN.	0
flavorpassive_JP.0	「この本は読み応えがあるぞ」
flavorpassive_JP.1	「もうこんな時間か。だがもう少し…」
flavorpassive_JP.2	「目が疲れた…」
flavorpassive_JP.3	「肩がこったな」
flavorpassive_JP.4	本のページをめくる音が聞こえてくる…。
numflavor_angeredJP.	4
numflavor_angeredEN.	4
flavorangered_JP.0	「邪魔をするな」
flavorangered_JP.1	「こっちは忙しいのだぞ！」
flavorangered_JP.2	「愚か者め」
flavorangered_JP.3	「騒ぐな、耳障りだ」
flavorangered_EN.0	"P-please, no sir..."
flavorangered_EN.1	"Waaaa!"
flavorangered_EN.2	"You get nothing from killing me..."
flavorangered_EN.3	"Don't make a fool of me!"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「きさまっ…！」
flavordeath_JP.1	「蘇生までの時間が惜しい…」
flavordeath_JP.2	「少し休むだけだ」
flavordeath_EN.0	"You are cruel."
flavordeath_EN.1	"Ahhhh!"
flavordeath_EN.2	"I don't deserve this..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「さて、何をしようとしていたのだっけな」
flavorkill_JP.1	「ふん」
flavorkill_EN.0	"Huh?"
flavorkill_EN.1	"Ha ha ha!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
