npcname_JP.	《叡智のソピアー》
npcname_EN.	<Sophia> The Wise
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「知力を尽くしなさい」
flavorangered_JP.1	「これも盟約の定め…」
flavorangered_JP.2	「君との戦いも記録させてもらう」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「君ならきっと大丈夫だ」
flavordeath_JP.1	「4千年前の、ある英雄の戦いぶりを思い出したよ」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「この敗戦もまた、君の知識の糧になる」
flavorkill_JP.1	「私にちょっかいを出している場合ではなかったようだね」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「また少し、知識を得てきたね」
