npcname_JP.	空を翔ける『ネイン』
npcname_EN.	<Nein> the flying witch
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「お尻痛い…」
flavorpassive_JP.1	「足痺れてきた…」
flavorpassive_JP.2	「見えそうで見えなーい」
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「あたしの才能に嫉妬しちゃうのも仕方ないかぁ！」
flavorangered_JP.1	「才能のないやつってすぐムキになるよね」
flavorangered_JP.2	「うわ、みっともない」
flavorangered_JP.3	「凡才に生まれて悲しくないの？」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「あたしはまだ成長の途中だし」
flavordeath_JP.1	「本気出しちゃっておとなげなーい」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「すっごい可哀想」
flavorkill_JP.1	「情けないね♪」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
