npcname_JP.	《不幸のシナア》
npcname_EN.	<Sinaha>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「不幸にしてやるニャ」
flavorangered_JP.1	「ふしーっ！」
flavorangered_JP.2	「いい度胸ニャア…」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「お昼寝の続きをするニャ」
flavordeath_JP.1	「にゃん…だと…」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「にゃはっはー」
flavorkill_JP.1	「もうちょっといたぶりたかったニャ」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「あー。下僕が帰ってきたニャ」
